class,frequency
Q1002697,507
Q101352,4368
Q105543609,827
Q108325,484
Q11060274,1219
Q11173,11362
Q11266439,7487
Q11424,2414
Q11446,698
Q1151284,746
Q1153690,772
Q11753321,418
Q12284,453
Q12323,655
Q124714,617
Q125191,581
Q1260524,856
Q13100073,5225
Q13406463,3029
Q13433827,4768
Q13442814,338172
Q134556,917
Q1457376,2652
Q15184295,471
Q15416,444
Q15632617,462
Q1580166,1182
Q16521,30150
Q16970,1930
Q17633526,2612
Q179700,429
Q18340514,419
Q18593264,1117
Q187971,439
Q191067,693
Q1931185,3167
Q19389637,1428
Q204107,722
Q2065736,619
Q21014462,1212
Q21191270,566
Q2151232,496
Q215380,727
Q2154519,1362
Q2168098,439
Q2225692,417
Q2247863,2494
Q22698,784
Q22808320,745
Q23038290,1018
Q23397,2375
Q2341654,584
Q23442,1349
Q2668072,4637
Q27020041,1451
Q28869365,606
Q29654788,1404
Q30612,3188
Q318,18927
Q3305213,4841
Q3331189,1646
Q34442,623
Q35120,23623
Q355304,1532
Q3558970,532
Q3863,2171
Q3947,1802
Q39816,887
Q4022,3597
Q41176,2374
Q41253,502
Q4167410,12558
Q4167836,43719
Q43229,669
Q452237,673
Q47150325,1703
Q473972,777
Q47461344,708
Q47521,1059
Q482994,2504
Q4830453,1821
Q484170,407
Q486972,5141
Q49008,1175
Q5,85325
Q5084,1029
Q5185279,737
Q523,29782
Q532,2394
Q5398426,501
Q54050,2732
Q55488,889
Q55659167,636
Q5633421,886
Q56436498,1268
Q57733494,583
Q61443690,1131
Q6243,401
Q66619666,609
Q67206691,524
Q67206701,630
Q7187,1574
Q71963409,728
Q726242,864
Q72802727,588
Q732577,601
Q7604686,784
Q7725634,1742
Q7889,420
Q79007,5224
Q8054,2090
Q811979,961
Q820477,430
Q83373,1487
Q839954,486
Q8502,4837
Q860861,432
Q93184,850
Q96739634,571
Q9842,1426
Q985488,873
other,85345
