class,frequency
Q101352,2166
Q105543609,428
Q11060274,617
Q11173,5586
Q11266439,3826
Q11424,1251
Q13100073,2715
Q13406463,1539
Q13433827,2349
Q13442814,169248
Q134556,455
Q1457376,1365
Q1580166,553
Q16521,14927
Q16970,962
Q17633526,1316
Q18593264,578
Q1931185,1530
Q19389637,749
Q21014462,598
Q215380,408
Q2154519,667
Q2247863,1212
Q23038290,494
Q23397,1219
Q23442,705
Q2668072,2273
Q27020041,739
Q29654788,677
Q30612,1614
Q318,9354
Q3305213,2505
Q3331189,851
Q35120,11958
Q355304,747
Q3863,1083
Q3947,905
Q39816,479
Q4022,1878
Q41176,1179
Q4167410,6380
Q4167836,22048
Q47150325,833
Q47521,555
Q482994,1224
Q4830453,922
Q486972,2613
Q49008,592
Q5,42873
Q5084,507
Q523,14836
Q532,1162
Q54050,1421
Q55488,439
Q5633421,484
Q56436498,619
Q61443690,580
Q7187,744
Q726242,494
Q7604686,416
Q7725634,917
Q79007,2674
Q8054,1082
Q811979,493
Q83373,820
Q8502,2320
Q93184,419
Q9842,718
Q985488,439
other,57377
